Open,High,Low,Close,Volume
26420,27100,26140,26760,8680900
26980,27400,26820,27320,10291450
27420,27440,26880,27040,7210600
27060,27060,26700,27000,8195800
27320,27380,26720,27240,10034150
27200,27320,26260,26280,17265450
26340,26420,26020,26180,15048150
26400,26420,25940,26140,17380750
26000,26020,25760,25820,10921950
26000,26060,25760,26060,8757550
26060,26320,25300,25460,11769400
26300,26820,26100,26740,19411950
26500,27100,26400,26820,9828150
26900,26940,26260,26280,10118950
26000,26200,25360,25640,13735250
25640,25880,25240,25240,12501700
25260,25480,25060,25140,15314050
25560,25740,25280,25540,11741500
25100,25480,25100,25400,8067800
25400,25480,24900,25100,12767600
25000,25320,24800,25080,9452300
25180,25580,25020,25300,8247600
25320,25560,25200,25320,7094750
25820,25920,25520,25620,6370900
26180,26560,25820,26420,10159000
26000,26220,25820,26040,10198000
25800,26060,25380,25380,10695800
25040,25800,25040,25560,10347500
25380,25700,25120,25620,11519950
25520,25700,25320,25360,9870350
25360,26040,25180,25900,8324900
25720,26080,25700,25980,8223000
25740,25880,25340,25360,7130200
25060,25200,24460,24600,10099950
24400,25180,24400,24800,12478250
24800,25020,24640,24780,11780950
24600,25300,24520,25300,14030500
25140,25320,24960,25180,9573400
25000,25440,24900,25320,7672050
25300,25400,24420,24500,19989700
24500,24760,24480,24700,8370650
24460,25740,24460,25640,11173450
26000,26220,25560,26100,14861650
25820,26080,25460,25500,6446400
25500,25540,24940,25260,9702750
24880,25200,24700,25060,13416150
24880,25060,24680,24680,10448250
24540,24760,24480,24580,9829200
24580,24940,24560,24600,12152000
24480,25020,24380,24600,13381350
25000,25500,24620,25260,13734450
25160,25200,24300,24300,15419600
24400,24440,23500,23700,19579450
23680,23680,23320,23500,9844550
23500,23740,23400,23640,12844350
23640,23640,23160,23180,12802500
23100,23120,22300,22300,20199050
22400,22740,22300,22720,13787100
22800,22840,22600,22820,5722500
23020,23580,22960,23140,11664300
23000,23280,22800,23080,11154000
23060,23060,22760,22800,7520550
22800,22800,22800,22800,0
22800,22820,22080,22080,11360850
22360,22820,22340,22620,11583600
23380,23520,22820,23080,20070750
23260,23420,22600,22780,10805950
21980,22560,21920,22020,20442550
21760,22300,20660,21580,22429600
21580,22140,21340,21580,19625950
21360,21480,21000,21340,27947600
21640,21720,21260,21340,24769400
21720,21720,21460,21620,23111150
21420,21780,21040,21780,20415450
21780,21960,21620,21700,12018600
21380,21900,21300,21800,15634150
22040,22500,21860,22440,15200350
22440,22880,22360,22580,12570650
22580,22580,22100,22240,9590250
22260,22720,22120,22620,9116500
22920,22940,22720,22940,12968800
22600,22780,22360,22680,18128400
22520,22660,22300,22300,10208350
22400,22480,22200,22480,8353650
22280,22560,22260,22460,11647800
22420,23140,22420,23040,17188150
23060,23140,22880,23140,13698000
22900,23840,22700,23800,21813500
23260,23460,23000,23000,10267950
22860,23000,22600,22900,12533750
22880,22880,22500,22620,9882450
22520,22700,22500,22520,6636050
22400,22500,22180,22240,10458000
22000,22680,21800,22680,22946800
22800,22900,22420,22680,12052050
22240,22660,22240,22380,13715100
22380,22620,22300,22300,12096750
22600,23100,22540,23020,19149350
23960,25040,23720,25020,39975100
25000,25580,25000,25400,28533850
25200,25260,24940,25200,18948700
25200,25440,24960,25040,9900000
24960,25200,24740,25080,8752550
24880,25640,24860,25380,12425150
25300,25380,25180,25300,7198400
25140,25300,24980,25120,5853500
25200,25460,25120,25320,7517350
25300,25640,25180,25400,6978350
25600,25900,25380,25600,11533650
26000,26000,25560,25780,13153550
25960,25960,25440,25840,7608250
25640,25980,25620,25960,6612050
25880,26160,25820,26160,13565150
26600,27840,26480,26500,31523550
26900,27800,26820,27440,25469250
27700,27860,27480,27660,19327300
27620,27620,27000,27040,15092000
27040,27220,26520,26600,14053500
26600,27080,26600,26840,8652100
26860,26960,26600,26760,8216100
26760,26880,26420,26880,9283050
26720,26820,26280,26420,9877550
26420,26900,26420,26660,7022450
26660,26680,26340,26340,7870850
26340,26340,26000,26000,8883850
25820,25820,25260,25260,13785250
25500,25800,25400,25400,9309200
25440,25800,25440,25620,8386750
25800,25800,25420,25780,9642500
25780,25920,25560,25700,8436000
25700,26040,25620,25640,9941000
25640,26100,25640,25980,7978000
26000,26200,25980,25980,7131350
25980,26800,25980,26700,9290000
26900,26980,26540,26540,8492700
26500,26500,25680,25680,26700300
25880,26440,25760,26420,12605650
26420,26440,25880,26000,11481400
25900,25940,25720,25800,8334750
25500,25600,25340,25380,9635550
25380,25500,25240,25240,9805350
25240,25440,25240,25240,6916100
25240,25500,25240,25260,9090600
25260,25860,25260,25660,15193350
25660,25900,25440,25680,10336450
25460,25460,25100,25220,11140050
25220,25600,25200,25540,8774700
25560,26200,25560,25980,10398100
26020,26160,25500,25800,8733850
25300,25760,25280,25560,8418450
25560,25700,25220,25600,8023300
25600,25840,25340,25840,10309600
25840,25980,25640,25900,10357400
25900,26000,25700,25700,7807550
25700,25780,25320,25320,11361500
25300,25320,24820,25080,11647200
25200,25440,25080,25200,10197900
25200,25200,24100,24100,15346950
24040,24360,23720,24160,10800100
24160,24160,23360,23500,18337600
23320,23660,23020,23260,14119400
23260,23720,23260,23420,12888150
23120,23320,22920,23040,12063850
22960,23320,22880,22920,10314150
23060,23180,22960,22960,7165800
22620,22840,22620,22760,10451100
22800,23040,22480,22640,10473200
21760,22660,21760,22520,16010700
22560,23420,22560,23420,10362100
23200,23200,22640,22760,8352600
22660,23100,22500,22620,9517600
22900,23360,22900,23360,7376400
23440,23520,23120,23240,7995650
23100,23140,22720,22740,7619950
22520,23500,22520,23500,13811850
23280,23360,22780,22900,15795600
22800,23000,22320,23000,21849150
23040,23260,23020,23260,12998950
23220,23320,22940,23120,8317400
23000,23040,22740,22920,8725350
23000,23220,22960,23120,12397950
23120,23380,23120,23280,9404700
22360,22740,22360,22600,15263100
22600,23020,22440,22600,12811600
23080,23200,22880,23080,9157300
23160,23580,23140,23360,9020050
23580,24020,23380,23700,12303100
24060,24060,23560,23740,11124050
23740,23900,23480,23800,8842600
23800,23840,23320,23500,8744950
23580,23780,23460,23620,7383700
23560,23580,23220,23440,7024200
23440,23740,23440,23580,6681750
23600,23740,23440,23440,8867200
23580,23880,23520,23560,14434000
24000,24140,23920,23940,11818600
24260,24400,24040,24400,10949550
24400,24560,24040,24300,10074500
24400,24620,24300,24460,6568800
24460,24480,23720,23840,10810100
23760,23980,23540,23880,9169000
24160,24720,24020,24500,14177000
24500,25060,24320,24980,13361250
25340,25460,24980,25100,10857700
25100,25280,24920,25060,8640400
25120,25260,25060,25120,7342800
25300,25920,25140,25260,12343450
25560,25560,25260,25460,11265700
25480,25580,25160,25340,9058500
25340,25580,25240,25380,10143600
25380,25580,25240,25580,9870900
25580,25800,25320,25640,10939750
25660,25800,25560,25760,7172300
25760,26000,25760,25880,6060900
25880,26000,25700,25800,8622700
26200,26420,26040,26160,13380250
26120,26280,25960,26240,19130750
25980,26180,25420,25580,13557800
25580,26100,25580,26100,9402300
25980,25980,25200,25200,11815950
25380,25820,25360,25700,9211700
26000,26000,25160,25380,12939750
25380,25380,24800,24920,12593400
24920,25420,24920,25320,6034650
25400,25620,25320,25500,6702700
26000,26040,25780,26000,16766350
26180,26200,25800,26000,6829950
25900,26100,25840,25980,6423700
25880,25920,25660,25760,7238300
25640,26000,25640,25980,8598600
26000,26020,25760,25880,7254450
25880,25880,25540,25600,5741500
25700,25700,25420,25620,4597850
25700,26100,25660,25920,8345050
25880,26000,25720,26000,8297300
26000,26000,25220,25300,14653450
25200,25340,24840,24900,16253900
24940,25240,24900,25000,7027600
25340,25400,25120,25220,7903300
25440,25800,25240,25800,14702750
25800,26000,25700,25980,13718100
25980,26000,25760,25920,8559550
25920,25980,25740,25840,8834400
25840,25840,25500,25620,7615100
25620,25620,25020,25060,12284900
25060,25260,24940,24960,11720150
24980,25300,24980,25280,9183550
25280,25420,25100,25360,9169600
25360,25540,25320,25400,10012450
25400,25600,25380,25380,7960550
25380,25720,25380,25720,8112550
25720,25780,25360,25420,10434600
25660,25960,25480,25900,11862750
25980,26060,25900,25920,12653650
26000,26020,25460,25640,13744550
25940,25940,25480,25600,10315350
25600,26000,25360,25840,62527700
25960,26820,25900,26660,23504000
27000,27440,26920,27300,23806950
27400,27580,27280,27540,17066200
27720,28040,27600,27960,23142150
28380,28380,27780,28120,18808100
28160,28600,28120,28600,25768750
28480,28500,28080,28120,14484050
27920,27920,27240,27420,15248300
27420,27720,27380,27600,12273050
27700,28320,27660,28260,15334450
28260,28340,27900,28180,14621550
28200,28700,28200,28520,16419700
28540,28960,28520,28620,13515800
28640,28980,28520,28960,10020550
28920,29000,28620,28900,8948250
28880,28900,28540,28600,11256300
28900,28900,27200,28000,20552600
28000,28100,27700,27960,11839000
27800,28080,27580,27980,10718950
28160,28240,27820,27920,10527050
28160,28900,27940,28500,13671700
28540,29580,28540,29320,14393600
29280,29480,29020,29320,7995000
29320,29500,29240,29380,7870350
28940,29040,28240,28420,16749150
28420,29000,28320,29000,11495200
29000,29500,28980,29200,13498150
29200,30000,29200,29780,14056800
29980,30100,29200,29280,11024700
29920,29920,29260,29620,10009900
29620,30000,29520,30000,12430250
30000,30440,29720,30360,11623150
30360,30660,30000,30660,11567200
30560,30800,30440,30660,10122250
30660,30840,30480,30800,7773150
30800,30940,30740,30860,8544700
30120,30560,30120,30320,8585150
30000,30460,29900,30040,7732500
30000,30620,29960,30600,7228500
30240,30580,30240,30540,6335050
30660,30720,29960,30140,9503700
30400,31140,30220,30780,14985600
31380,31600,31200,31360,11515400
31360,31360,30920,30960,8315800
30960,30960,30340,30340,7504900
30380,30660,30340,30340,7009950
30580,31280,30500,31220,6958850
31320,31500,31120,31380,11125150
31480,31580,31140,31340,9023200
31340,31400,30680,30820,12340350
30820,31180,30520,31180,10533600
31180,31400,30880,30900,10474850
30900,31520,30900,31360,10843100
31380,31400,31020,31320,7446450
31340,32880,31320,32800,18327050
32760,33500,32720,33500,16805150
33480,33840,33180,33300,12612200
33300,33880,33140,33740,11545700
33600,33640,32720,33060,15938550
32600,33180,32440,32780,14173800
32120,32460,32060,32240,12058000
32040,32800,31940,32800,8925750
32940,33420,32660,32900,7849600
32820,32820,32220,32400,20532200
31660,31760,31260,31740,18790150
31900,32260,31760,31940,8153000
31800,32300,31700,32120,8383800
32140,32900,31940,32860,7660150
32960,33040,32420,32420,9591850
32460,32780,32280,32780,12070850
32220,32360,31280,31500,13258400
29800,30120,29120,29300,26499350
30160,30980,29900,30540,24717250
30760,31380,30720,31160,22408150
31180,31760,31180,31700,12921150
31900,32020,31520,31840,10509050
32000,32820,31980,32360,11429950
31640,31960,31320,31420,18299650
31420,31920,31280,31360,14524800
31000,31500,30660,31380,9834400
31080,31460,31080,31340,8706400
31460,32380,31440,32000,11397550
31800,32300,31700,31960,11762700
32200,32480,32120,32280,13053100
32020,32520,31940,32380,12470450
33920,34000,33340,33820,29558150
34000,34320,33800,34120,26050550
33000,33780,32560,33600,25293300
32000,32500,30900,30900,38427150
29900,30900,29880,30700,39088550
31000,31620,30900,31140,21864550
30960,31760,30940,31540,14158950
31300,32040,30760,31800,12785200
31440,31900,31440,31780,10384500
31580,32860,31500,32500,15444550
32520,33020,32180,32400,10330450
32120,32260,31760,31780,10477500
31860,32160,31800,32160,9289950
32000,32080,31840,31940,9866100
31940,31980,31240,31340,10534000
31420,32340,31120,31460,14117000
31600,32280,31600,32280,10214200
32320,32780,32220,32780,12067200
32600,33040,32240,33040,10347400
32800,33040,32620,32860,10099250
32600,32800,32120,32320,10341850
32100,32680,32100,32540,7103850
32940,33000,32680,32800,7661900
32980,32980,32700,32880,5417450
32920,33140,31820,31920,15683600
32600,33000,32360,32980,11795350
31700,32360,31700,31960,12836800
31900,31920,31040,31060,15133300
31060,31620,30780,30780,13665700
30800,31280,30800,31160,13308200
31100,31520,30900,31360,7870550
31640,31760,31400,31720,9460750
31300,32120,31300,31860,8180200
32140,32900,32000,32800,9751100
33220,33220,32520,32980,12668600
32980,33040,32660,33000,7757150
32820,33040,32660,33000,6276900
33000,33620,32800,33540,13294050
33800,33960,33380,33540,18081300
33540,34940,33540,34920,28535200
34800,35060,34660,34980,15535350
34480,34760,34140,34540,15352950
34340,34680,34220,34360,8484600
34440,35200,34400,34960,14001800
35040,35480,35040,35440,9603650
35980,36020,35520,35800,16462550
35900,35900,35400,35600,10652450
34660,35360,34660,35040,11414450
34620,35440,34620,35320,11684450
35560,35680,35280,35540,7455100
34820,35500,34820,35180,5773550
35300,36020,35200,35860,11747700
35620,36380,35620,35900,5435800
35920,36400,35840,36240,7615200
